h_a,xG,xGA,result,date,team_name,year
h,0.80527,0.849709,w,2020-09-21,Aston Villa,2020
a,2.03222,0.534675,w,2020-09-28,Aston Villa,2020
h,3.07626,1.65705,w,2020-10-04,Aston Villa,2020
a,0.873776,0.671595,w,2020-10-18,Aston Villa,2020
h,1.50125,2.37695,l,2020-10-23,Aston Villa,2020
h,2.44855,1.00333,l,2020-11-01,Aston Villa,2020
a,1.98553,1.39037,w,2020-11-08,Aston Villa,2020
h,1.76514,1.50038,l,2020-11-21,Aston Villa,2020
a,2.39051,0.571633,l,2020-11-30,Aston Villa,2020
a,1.26872,1.1356,w,2020-12-12,Aston Villa,2020
h,1.81142,0.316737,d,2020-12-17,Aston Villa,2020
a,2.61964,0.0388442,w,2020-12-20,Aston Villa,2020
h,4.58214,0.849086,w,2020-12-26,Aston Villa,2020
a,0.730859,1.53701,d,2020-12-28,Aston Villa,2020
a,1.56434,2.46473,l,2021-01-01,Aston Villa,2020
a,0.601768,3.34385,l,2021-01-20,Aston Villa,2020
h,2.6026,0.400364,w,2021-01-23,Aston Villa,2020
a,2.70718,0.717681,l,2021-01-27,Aston Villa,2020
a,0.795508,2.22557,w,2021-01-30,Aston Villa,2020
h,0.741154,1.79064,l,2021-02-03,Aston Villa,2020
h,1.19792,0.679649,w,2021-02-06,Aston Villa,2020
a,0.144036,2.33232,d,2021-02-13,Aston Villa,2020
h,1.7084,1.23852,l,2021-02-21,Aston Villa,2020
a,0.876255,1.00106,w,2021-02-27,Aston Villa,2020
a,1.44176,0.716254,l,2021-03-03,Aston Villa,2020
h,0.956392,2.15087,d,2021-03-06,Aston Villa,2020
a,0.748665,0.873171,d,2021-03-12,Aston Villa,2020
h,0.439681,1.72011,l,2021-03-21,Aston Villa,2020
h,1.52229,1.52172,w,2021-04-04,Aston Villa,2020
a,0.760621,2.14592,l,2021-04-10,Aston Villa,2020
h,0.801733,1.5634,l,2021-04-21,Aston Villa,2020
h,2.65394,1.56764,d,2021-04-25,Aston Villa,2020
a,1.58811,1.223,w,2021-05-01,Aston Villa,2020
h,0.565472,1.88793,l,2021-05-09,Aston Villa,2020
h,0.558976,0.975408,d,2021-05-13,Aston Villa,2020
a,1.2303,1.95285,l,2021-05-16,Aston Villa,2020
a,1.63669,0.89279,w,2021-05-19,Aston Villa,2020
h,0.980413,3.43414,w,2021-05-23,Aston Villa,2020
a,1.26793,0.822944,w,2020-09-13,Everton,2020
h,4.16254,0.315347,w,2020-09-19,Everton,2020
a,2.27189,0.443115,w,2020-09-26,Everton,2020
h,2.34034,1.16568,w,2020-10-03,Everton,2020
h,1.35998,2.49492,d,2020-10-17,Everton,2020
a,0.287054,0.74151,l,2020-10-25,Everton,2020
a,1.21805,2.6311,l,2020-11-01,Everton,2020
h,0.376464,1.59642,l,2020-11-07,Everton,2020
a,2.2508,1.87028,w,2020-11-22,Everton,2020
h,1.29229,3.11324,l,2020-11-28,Everton,2020
a,2.28139,0.730434,d,2020-12-05,Everton,2020
h,1.2216,1.00627,w,2020-12-12,Everton,2020
a,1.51486,0.83883,w,2020-12-16,Everton,2020
h,0.661744,1.25206,w,2020-12-19,Everton,2020
a,0.568803,1.25106,w,2020-12-26,Everton,2020
h,0.371045,1.19713,l,2021-01-01,Everton,2020
a,0.323445,0.852495,w,2021-01-12,Everton,2020
h,0.474981,0.792045,d,2021-01-27,Everton,2020
h,0.966012,2.08832,l,2021-01-30,Everton,2020
a,1.91539,1.14303,w,2021-02-03,Everton,2020
a,1.5571,1.71769,d,2021-02-06,Everton,2020
h,0.314075,2.55085,l,2021-02-14,Everton,2020
h,1.04664,1.23218,l,2021-02-17,Everton,2020
a,2.01468,1.54046,w,2021-02-20,Everton,2020
h,1.42054,0.665743,w,2021-03-01,Everton,2020
a,1.40789,1.02038,w,2021-03-04,Everton,2020
a,0.270757,2.57224,l,2021-03-08,Everton,2020
h,1.69849,0.74852,l,2021-03-13,Everton,2020
h,2.53386,0.603749,d,2021-04-05,Everton,2020
a,0.306287,1.16465,d,2021-04-12,Everton,2020
h,2.26022,1.4815,d,2021-04-16,Everton,2020
a,0.529676,0.735767,w,2021-04-23,Everton,2020
h,1.223,1.58811,l,2021-05-01,Everton,2020
a,1.56222,1.09704,w,2021-05-09,Everton,2020
a,0.975408,0.558976,d,2021-05-13,Everton,2020
h,1.24609,1.391,l,2021-05-16,Everton,2020
h,0.670997,0.265526,w,2021-05-19,Everton,2020
a,1.07258,2.88355,l,2021-05-23,Everton,2020
a,1.26267,1.39569,l,2020-09-12,Southampton,2020
h,2.27708,2.28004,l,2020-09-20,Southampton,2020
a,0.706632,0.347136,w,2020-09-26,Southampton,2020
h,0.949079,0.161283,w,2020-10-04,Southampton,2020
a,1.42348,1.98708,d,2020-10-17,Southampton,2020
h,0.74151,0.287054,w,2020-10-25,Southampton,2020
a,1.00333,2.44855,w,2020-11-01,Southampton,2020
h,0.985828,0.175633,w,2020-11-06,Southampton,2020
a,1.0785,1.57479,d,2020-11-23,Southampton,2020
h,0.498783,2.47547,l,2020-11-29,Southampton,2020
a,1.34801,2.03376,w,2020-12-07,Southampton,2020
h,2.27973,0.219115,w,2020-12-13,Southampton,2020
a,1.11296,0.661135,d,2020-12-16,Southampton,2020
h,0.586972,1.15599,l,2020-12-19,Southampton,2020
a,0.119709,0.781855,d,2020-12-26,Southampton,2020
h,0.670996,1.07246,d,2020-12-29,Southampton,2020
h,0.500436,1.37204,w,2021-01-04,Southampton,2020
a,0.378147,2.12019,l,2021-01-16,Southampton,2020
h,0.99504,2.4339,l,2021-01-26,Southampton,2020
h,2.22557,0.795508,l,2021-01-30,Southampton,2020
a,0.507893,5.0325,l,2021-02-02,Southampton,2020
a,1.43445,0.910553,l,2021-02-06,Southampton,2020
h,0.8536,1.09361,l,2021-02-14,Southampton,2020
h,0.496603,1.44849,d,2021-02-20,Southampton,2020
a,1.47981,1.84753,l,2021-02-23,Southampton,2020
a,0.665743,1.42054,l,2021-03-01,Southampton,2020
a,2.37386,0.908155,w,2021-03-06,Southampton,2020
a,1.60561,3.10503,l,2021-03-10,Southampton,2020
h,1.03495,0.895967,l,2021-03-14,Southampton,2020
h,2.40272,1.50285,w,2021-04-04,Southampton,2020
a,1.5002,2.77089,l,2021-04-12,Southampton,2020
a,1.06134,1.28824,l,2021-04-21,Southampton,2020
h,0.954057,2.51518,d,2021-04-30,Southampton,2020
a,1.2289,2.26367,l,2021-05-08,Southampton,2020
h,1.58872,1.32586,w,2021-05-11,Southampton,2020
h,2.29146,0.875957,w,2021-05-15,Southampton,2020
h,1.3084,1.58132,l,2021-05-18,Southampton,2020
a,1.35179,1.98344,l,2021-05-23,Southampton,2020
a,2.95581,0.352997,w,2020-09-13,Leicester,2020
h,0.987365,1.52404,w,2020-09-20,Leicester,2020
a,2.86721,1.44633,w,2020-09-27,Leicester,2020
h,0.456022,2.03227,l,2020-10-04,Leicester,2020
h,0.671595,0.873776,l,2020-10-18,Leicester,2020
a,0.736172,0.73944,w,2020-10-25,Leicester,2020
a,3.07657,1.74822,w,2020-11-02,Leicester,2020
h,2.0545,0.57936,w,2020-11-08,Leicester,2020
a,1.98397,3.77245,l,2020-11-22,Leicester,2020
h,1.27814,2.03719,l,2020-11-30,Leicester,2020
a,1.3904,0.290743,w,2020-12-06,Leicester,2020
h,1.64351,0.791673,w,2020-12-13,Leicester,2020
h,0.83883,1.51486,l,2020-12-16,Leicester,2020
a,1.74772,0.945932,w,2020-12-20,Leicester,2020
h,1.0396,2.08423,d,2020-12-26,Leicester,2020
a,1.72132,0.321348,d,2020-12-28,Leicester,2020
a,0.702081,0.264584,w,2021-01-03,Leicester,2020
h,2.12019,0.378147,w,2021-01-16,Leicester,2020
h,1.1449,0.615727,w,2021-01-19,Leicester,2020
a,0.792045,0.474981,d,2021-01-27,Leicester,2020
h,1.73432,1.8141,l,2021-01-31,Leicester,2020
a,1.71299,0.731288,w,2021-02-03,Leicester,2020
a,0.632232,1.35506,d,2021-02-07,Leicester,2020
h,2.07383,1.68325,w,2021-02-13,Leicester,2020
a,1.23852,1.7084,w,2021-02-21,Leicester,2020
h,0.533575,2.1065,l,2021-02-28,Leicester,2020
a,1.24109,1.26793,d,2021-03-03,Leicester,2020
a,1.03801,0.75471,w,2021-03-06,Leicester,2020
h,4.54571,0.0934777,w,2021-03-14,Leicester,2020
h,0.284781,1.98438,l,2021-04-03,Leicester,2020
a,1.17188,1.02408,l,2021-04-11,Leicester,2020
h,2.6712,0.277126,w,2021-04-22,Leicester,2020
h,1.23419,0.723112,w,2021-04-26,Leicester,2020
a,2.51518,0.954057,d,2021-04-30,Leicester,2020
h,2.315,2.87261,l,2021-05-07,Leicester,2020
a,0.991522,0.212874,w,2021-05-11,Leicester,2020
a,0.832596,2.86149,l,2021-05-18,Leicester,2020
h,1.82554,1.85229,l,2021-05-23,Leicester,2020
h,0.352997,2.95581,l,2020-09-13,West Bromwich Albion,2020
a,0.315347,4.16254,l,2020-09-19,West Bromwich Albion,2020
h,0.911185,2.36046,d,2020-09-26,West Bromwich Albion,2020
a,0.161283,0.949079,l,2020-10-04,West Bromwich Albion,2020
h,0.731692,1.08532,d,2020-10-19,West Bromwich Albion,2020
a,0.295654,0.546807,d,2020-10-26,West Bromwich Albion,2020
a,0.482685,1.62247,l,2020-11-02,West Bromwich Albion,2020
h,0.799352,1.87063,l,2020-11-08,West Bromwich Albion,2020
a,0.438646,2.42994,l,2020-11-21,West Bromwich Albion,2020
h,1.71644,3.36544,w,2020-11-28,West Bromwich Albion,2020
h,0.567234,1.68656,l,2020-12-06,West Bromwich Albion,2020
a,0.57319,0.904163,l,2020-12-12,West Bromwich Albion,2020
a,0.210243,2.58593,d,2020-12-15,West Bromwich Albion,2020
h,0.0388442,2.61964,l,2020-12-20,West Bromwich Albion,2020
a,0.739845,1.45485,d,2020-12-27,West Bromwich Albion,2020
h,0.43551,1.54225,l,2020-12-29,West Bromwich Albion,2020
h,0.869874,4.03429,l,2021-01-02,West Bromwich Albion,2020
a,2.46332,1.94358,w,2021-01-16,West Bromwich Albion,2020
a,0.464091,2.17512,l,2021-01-19,West Bromwich Albion,2020
h,0.568258,2.24838,l,2021-01-26,West Bromwich Albion,2020
h,0.994664,1.52044,d,2021-01-30,West Bromwich Albion,2020
a,1.61871,1.35804,l,2021-02-02,West Bromwich Albion,2020
a,0.698686,1.92997,l,2021-02-07,West Bromwich Albion,2020
h,0.945964,0.423885,d,2021-02-14,West Bromwich Albion,2020
a,1.71922,0.535153,d,2021-02-20,West Bromwich Albion,2020
h,0.687091,3.12111,w,2021-02-27,West Bromwich Albion,2020
h,1.02038,1.40789,l,2021-03-04,West Bromwich Albion,2020
h,1.46503,0.454577,d,2021-03-07,West Bromwich Albion,2020
a,0.513439,1.30694,l,2021-03-13,West Bromwich Albion,2020
a,1.38315,2.55917,w,2021-04-03,West Bromwich Albion,2020
h,2.77089,1.5002,w,2021-04-12,West Bromwich Albion,2020
a,0.277126,2.6712,l,2021-04-22,West Bromwich Albion,2020
a,1.56764,2.65394,d,2021-04-25,West Bromwich Albion,2020
h,1.07133,0.844138,d,2021-05-03,West Bromwich Albion,2020
a,1.83076,1.07042,l,2021-05-09,West Bromwich Albion,2020
h,1.14202,2.07854,l,2021-05-16,West Bromwich Albion,2020
h,1.10741,3.56991,l,2021-05-19,West Bromwich Albion,2020
a,1.02209,2.49009,l,2021-05-23,West Bromwich Albion,2020
h,1.39569,1.26267,w,2020-09-12,Crystal Palace,2020
a,1.91456,1.09737,w,2020-09-19,Crystal Palace,2020
h,0.443115,2.27189,l,2020-09-26,Crystal Palace,2020
a,0.103249,2.51433,l,2020-10-03,Crystal Palace,2020
h,0.761169,1.0935,d,2020-10-18,Crystal Palace,2020
a,2.81049,1.05258,w,2020-10-24,Crystal Palace,2020
a,0.802767,1.34895,l,2020-10-30,Crystal Palace,2020
h,1.30169,0.847913,w,2020-11-07,Crystal Palace,2020
a,1.28331,1.75343,l,2020-11-23,Crystal Palace,2020
h,0.534893,1.27929,l,2020-11-27,Crystal Palace,2020
a,1.68656,0.567234,w,2020-12-06,Crystal Palace,2020
h,1.84443,1.40792,d,2020-12-13,Crystal Palace,2020
a,1.09108,0.449469,d,2020-12-16,Crystal Palace,2020
h,0.489318,2.86902,l,2020-12-19,Crystal Palace,2020
a,0.849086,4.58214,l,2020-12-26,Crystal Palace,2020
h,0.321348,1.72132,d,2020-12-28,Crystal Palace,2020
h,0.598888,0.323158,w,2021-01-02,Crystal Palace,2020
a,0.709634,0.368554,d,2021-01-14,Crystal Palace,2020
a,0.0515836,0.961088,l,2021-01-17,Crystal Palace,2020
h,0.629033,3.30321,l,2021-01-26,Crystal Palace,2020
h,1.36877,0.450907,w,2021-01-30,Crystal Palace,2020
a,0.809312,1.90755,w,2021-02-02,Crystal Palace,2020
a,0.370278,2.64769,l,2021-02-08,Crystal Palace,2020
h,0.645616,1.95502,l,2021-02-13,Crystal Palace,2020
a,0.179886,2.59204,w,2021-02-22,Crystal Palace,2020
h,0.0880148,0.813134,d,2021-02-28,Crystal Palace,2020
h,0.742397,0.584016,d,2021-03-03,Crystal Palace,2020
a,0.559383,2.24159,l,2021-03-07,Crystal Palace,2020
h,1.30694,0.513439,w,2021-03-13,Crystal Palace,2020
a,0.603749,2.53386,d,2021-04-05,Crystal Palace,2020
h,0.602167,3.85472,l,2021-04-10,Crystal Palace,2020
a,0.723112,1.23419,l,2021-04-26,Crystal Palace,2020
h,0.361866,2.04443,l,2021-05-01,Crystal Palace,2020
a,2.25382,0.639325,w,2021-05-08,Crystal Palace,2020
a,1.32586,1.58872,l,2021-05-11,Crystal Palace,2020
h,1.95285,1.2303,w,2021-05-16,Crystal Palace,2020
h,0.998377,1.7945,l,2021-05-19,Crystal Palace,2020
a,0.772317,2.20348,l,2021-05-23,Crystal Palace,2020
a,1.27062,1.44281,w,2020-09-14,Chelsea,2020
h,0.904183,2.25211,l,2020-09-20,Chelsea,2020
a,2.36046,0.911185,d,2020-09-26,Chelsea,2020
h,2.51433,0.103249,w,2020-10-03,Chelsea,2020
h,1.98708,1.42348,d,2020-10-17,Chelsea,2020
a,0.219906,0.648427,d,2020-10-24,Chelsea,2020
a,1.23077,0.407341,w,2020-10-31,Chelsea,2020
h,2.87622,0.743967,w,2020-11-07,Chelsea,2020
a,1.81923,0.368286,w,2020-11-21,Chelsea,2020
h,0.974755,0.22689,d,2020-11-29,Chelsea,2020
h,4.89472,1.0277,w,2020-12-05,Chelsea,2020
a,1.00627,1.2216,l,2020-12-12,Chelsea,2020
a,1.56772,0.683783,l,2020-12-15,Chelsea,2020
h,2.41157,0.277737,w,2020-12-21,Chelsea,2020
a,2.25414,1.94485,l,2020-12-26,Chelsea,2020
h,1.53701,0.730859,d,2020-12-28,Chelsea,2020
h,0.691013,3.18063,l,2021-01-03,Chelsea,2020
a,1.37939,0.46126,w,2021-01-16,Chelsea,2020
a,0.615727,1.1449,l,2021-01-19,Chelsea,2020
h,0.663324,0.63192,d,2021-01-27,Chelsea,2020
h,1.4405,0.390714,w,2021-01-31,Chelsea,2020
a,2.393,0.569446,w,2021-02-04,Chelsea,2020
a,1.64144,0.623045,w,2021-02-07,Chelsea,2020
h,2.5428,0.432603,w,2021-02-15,Chelsea,2020
a,1.44849,0.496603,d,2021-02-20,Chelsea,2020
h,1.17294,0.35954,d,2021-02-28,Chelsea,2020
a,1.22635,0.247034,w,2021-03-04,Chelsea,2020
h,2.57224,0.270757,w,2021-03-08,Chelsea,2020
a,0.971054,0.382957,d,2021-03-13,Chelsea,2020
h,2.55917,1.38315,l,2021-04-03,Chelsea,2020
a,3.85472,0.602167,w,2021-04-10,Chelsea,2020
h,0.807348,0.459568,d,2021-04-20,Chelsea,2020
a,2.52059,0.267123,w,2021-04-24,Chelsea,2020
h,1.8433,0.290042,w,2021-05-01,Chelsea,2020
a,0.619724,1.79168,w,2021-05-08,Chelsea,2020
h,1.56786,0.692043,l,2021-05-12,Chelsea,2020
h,2.86149,0.832596,w,2021-05-18,Chelsea,2020
a,3.43414,0.980413,l,2021-05-23,Chelsea,2020
h,0.861445,1.65911,l,2020-09-12,West Ham,2020
a,2.06377,1.32902,l,2020-09-19,West Ham,2020
h,3.05703,0.385152,w,2020-09-27,West Ham,2020
a,2.03227,0.456022,w,2020-10-04,West Ham,2020
a,1.49992,1.77602,d,2020-10-18,West Ham,2020
h,0.263739,0.892456,d,2020-10-24,West Ham,2020
a,0.269048,1.56302,l,2020-10-31,West Ham,2020
h,1.42614,1.84922,w,2020-11-07,West Ham,2020
a,2.1142,0.692374,w,2020-11-22,West Ham,2020
h,0.571633,2.39051,w,2020-11-30,West Ham,2020
h,2.53006,1.78708,l,2020-12-05,West Ham,2020
a,1.7851,1.56644,w,2020-12-11,West Ham,2020
h,0.449469,1.09108,d,2020-12-16,West Ham,2020
a,0.277737,2.41157,l,2020-12-21,West Ham,2020
h,1.38877,1.50551,d,2020-12-27,West Ham,2020
a,1.07246,0.670996,d,2020-12-29,West Ham,2020
a,1.19713,0.371045,w,2021-01-01,West Ham,2020
h,1.73397,0.395668,w,2021-01-16,West Ham,2020
h,2.17512,0.464091,w,2021-01-19,West Ham,2020
a,3.30321,0.629033,w,2021-01-26,West Ham,2020
h,0.883061,2.05809,l,2021-01-31,West Ham,2020
a,1.79064,0.741154,w,2021-02-03,West Ham,2020
a,0.943539,1.60884,d,2021-02-06,West Ham,2020
h,2.32735,0.926652,w,2021-02-15,West Ham,2020
h,1.09246,0.770706,w,2021-02-21,West Ham,2020
a,1.92892,0.760574,l,2021-02-27,West Ham,2020
h,2.37556,1.34971,w,2021-03-08,West Ham,2020
a,0.463737,1.70128,l,2021-03-14,West Ham,2020
h,2.50629,1.35217,d,2021-03-21,West Ham,2020
a,1.59694,1.95649,w,2021-04-05,West Ham,2020
h,1.02408,1.17188,w,2021-04-11,West Ham,2020
a,2.06741,2.4314,l,2021-04-17,West Ham,2020
h,0.267123,2.52059,l,2021-04-24,West Ham,2020
a,2.42477,1.68312,w,2021-05-03,West Ham,2020
h,1.09704,1.56222,l,2021-05-09,West Ham,2020
a,1.92378,0.922587,d,2021-05-15,West Ham,2020
a,3.56991,1.10741,w,2021-05-19,West Ham,2020
h,1.98344,1.35179,w,2021-05-23,West Ham,2020
h,0.822944,1.26793,l,2020-09-13,Tottenham,2020
a,2.28004,2.27708,w,2020-09-20,Tottenham,2020
h,3.18765,0.942726,d,2020-09-27,Tottenham,2020
a,3.3017,0.873435,w,2020-10-04,Tottenham,2020
h,1.77602,1.49992,d,2020-10-18,Tottenham,2020
a,0.797344,0.95045,w,2020-10-26,Tottenham,2020
h,1.97236,0.324457,w,2020-11-01,Tottenham,2020
a,1.87063,0.799352,w,2020-11-08,Tottenham,2020
h,0.761142,1.66325,w,2020-11-21,Tottenham,2020
a,0.22689,0.974755,d,2020-11-29,Tottenham,2020
h,0.390629,0.595216,w,2020-12-06,Tottenham,2020
a,1.40792,1.84443,d,2020-12-13,Tottenham,2020
a,1.5161,1.21783,l,2020-12-16,Tottenham,2020
h,0.945932,1.74772,l,2020-12-20,Tottenham,2020
a,0.408109,0.742598,d,2020-12-27,Tottenham,2020
h,2.5286,1.15626,w,2021-01-02,Tottenham,2020
h,3.14372,1.05329,d,2021-01-13,Tottenham,2020
a,1.28385,0.978133,w,2021-01-17,Tottenham,2020
h,0.104586,2.58798,l,2021-01-28,Tottenham,2020
a,0.372524,1.77386,l,2021-01-31,Tottenham,2020
h,0.569446,2.393,l,2021-02-04,Tottenham,2020
h,1.92997,0.698686,w,2021-02-07,Tottenham,2020
a,0.4235,2.46219,l,2021-02-13,Tottenham,2020
a,0.770706,1.09246,l,2021-02-21,Tottenham,2020
h,2.35788,0.603212,w,2021-02-28,Tottenham,2020
a,1.5519,1.1715,w,2021-03-04,Tottenham,2020
h,2.24159,0.559383,w,2021-03-07,Tottenham,2020
a,0.705566,1.56529,l,2021-03-14,Tottenham,2020
a,1.72011,0.439681,w,2021-03-21,Tottenham,2020
a,2.43683,3.30098,d,2021-04-04,Tottenham,2020
h,0.921801,2.09737,l,2021-04-11,Tottenham,2020
a,1.4815,2.26022,d,2021-04-16,Tottenham,2020
h,1.28824,1.06134,w,2021-04-21,Tottenham,2020
h,2.26016,0.469026,w,2021-05-02,Tottenham,2020
a,1.03384,2.55216,l,2021-05-08,Tottenham,2020
h,3.13947,1.09206,w,2021-05-16,Tottenham,2020
h,0.89279,1.63669,l,2021-05-19,Tottenham,2020
a,1.85229,1.82554,w,2021-05-23,Tottenham,2020
a,2.16287,0.126327,w,2020-09-12,Arsenal,2020
h,1.32902,2.06377,w,2020-09-19,Arsenal,2020
a,1.17817,2.73834,l,2020-09-28,Arsenal,2020
h,0.667131,0.144994,w,2020-10-04,Arsenal,2020
a,0.838322,1.43023,l,2020-10-17,Arsenal,2020
h,0.73944,0.736172,l,2020-10-25,Arsenal,2020
a,0.998072,0.394113,w,2020-11-01,Arsenal,2020
h,1.39037,1.98553,l,2020-11-08,Arsenal,2020
a,0.710778,1.9617,d,2020-11-22,Arsenal,2020
h,1.1185,2.0069,l,2020-11-29,Arsenal,2020
a,0.595216,0.390629,l,2020-12-06,Arsenal,2020
h,1.85362,0.815375,l,2020-12-13,Arsenal,2020
h,0.661135,1.11296,d,2020-12-16,Arsenal,2020
a,1.25206,0.661744,l,2020-12-19,Arsenal,2020
h,1.94485,2.25414,w,2020-12-26,Arsenal,2020
a,1.31394,0.799368,w,2020-12-29,Arsenal,2020
a,4.03429,0.869874,w,2021-01-02,Arsenal,2020
h,0.368554,0.709634,d,2021-01-14,Arsenal,2020
h,2.30744,0.168796,w,2021-01-18,Arsenal,2020
a,2.4339,0.99504,w,2021-01-26,Arsenal,2020
h,0.747166,1.51332,d,2021-01-30,Arsenal,2020
a,0.716265,1.56162,l,2021-02-02,Arsenal,2020
a,0.679649,1.19792,l,2021-02-06,Arsenal,2020
h,2.50614,0.77074,w,2021-02-14,Arsenal,2020
h,0.331188,2.08868,l,2021-02-21,Arsenal,2020
a,2.1065,0.533575,w,2021-02-28,Arsenal,2020
a,2.53692,1.10374,d,2021-03-06,Arsenal,2020
h,1.56529,0.705566,w,2021-03-14,Arsenal,2020
a,1.35217,2.50629,d,2021-03-21,Arsenal,2020
h,0.161161,2.43732,l,2021-04-03,Arsenal,2020
a,1.93838,0.315121,w,2021-04-11,Arsenal,2020
h,2.85573,0.839128,d,2021-04-18,Arsenal,2020
h,0.735767,0.529676,l,2021-04-23,Arsenal,2020
a,1.78751,0.172988,w,2021-05-02,Arsenal,2020
h,1.07042,1.83076,w,2021-05-09,Arsenal,2020
a,0.692043,1.56786,w,2021-05-12,Arsenal,2020
a,1.7945,0.998377,w,2021-05-19,Arsenal,2020
h,0.772904,0.193968,w,2021-05-23,Arsenal,2020
a,1.65911,0.861445,w,2020-09-12,Newcastle United,2020
h,0.520678,1.8766,l,2020-09-20,Newcastle United,2020
a,0.942726,3.18765,d,2020-09-27,Newcastle United,2020
h,1.95629,0.438849,w,2020-10-03,Newcastle United,2020
h,0.867496,2.21729,l,2020-10-17,Newcastle United,2020
a,0.253685,0.758626,d,2020-10-25,Newcastle United,2020
h,2.6311,1.21805,w,2020-11-01,Newcastle United,2020
a,0.175633,0.985828,l,2020-11-06,Newcastle United,2020
h,0.368286,1.81923,l,2020-11-21,Newcastle United,2020
a,1.27929,0.534893,w,2020-11-27,Newcastle United,2020
h,0.904163,0.57319,w,2020-12-12,Newcastle United,2020
a,1.44437,2.95137,l,2020-12-16,Newcastle United,2020
h,1.26725,1.10645,d,2020-12-19,Newcastle United,2020
a,0.200953,3.19575,l,2020-12-26,Newcastle United,2020
h,0.817935,1.32047,d,2020-12-30,Newcastle United,2020
h,0.264584,0.702081,l,2021-01-03,Newcastle United,2020
a,1.04745,2.01315,l,2021-01-12,Newcastle United,2020
a,0.168796,2.30744,l,2021-01-18,Newcastle United,2020
a,0.400364,2.6026,l,2021-01-23,Newcastle United,2020
h,1.1364,0.785914,l,2021-01-26,Newcastle United,2020
a,2.08832,0.966012,w,2021-01-30,Newcastle United,2020
h,1.90755,0.809312,l,2021-02-02,Newcastle United,2020
h,0.910553,1.43445,w,2021-02-06,Newcastle United,2020
a,0.432603,2.5428,l,2021-02-15,Newcastle United,2020
a,0.341778,1.7256,l,2021-02-21,Newcastle United,2020
h,1.9519,1.27827,d,2021-02-27,Newcastle United,2020
a,0.454577,1.46503,d,2021-03-07,Newcastle United,2020
h,0.873171,0.748665,d,2021-03-12,Newcastle United,2020
a,0.10094499999999999,0.951921,l,2021-03-20,Newcastle United,2020
h,3.30098,2.43683,d,2021-04-04,Newcastle United,2020
a,1.34279,1.84262,w,2021-04-11,Newcastle United,2020
h,2.4314,2.06741,w,2021-04-17,Newcastle United,2020
a,0.860694,2.84708,d,2021-04-24,Newcastle United,2020
h,0.172988,1.78751,l,2021-05-02,Newcastle United,2020
a,2.87261,2.315,w,2021-05-07,Newcastle United,2020
h,2.18312,1.477,l,2021-05-14,Newcastle United,2020
h,1.82508,0.882242,w,2021-05-19,Newcastle United,2020
a,1.60157,0.98902,w,2021-05-23,Newcastle United,2020
h,3.15412,0.269813,w,2020-09-12,Liverpool,2020
a,2.25211,0.904183,w,2020-09-20,Liverpool,2020
h,2.73834,1.17817,w,2020-09-28,Liverpool,2020
a,1.65705,3.07626,l,2020-10-04,Liverpool,2020
a,2.49492,1.35998,d,2020-10-17,Liverpool,2020
h,2.40286,1.39788,w,2020-10-24,Liverpool,2020
h,1.56302,0.269048,w,2020-10-31,Liverpool,2020
a,1.18789,1.58487,d,2020-11-08,Liverpool,2020
h,3.77245,1.98397,w,2020-11-22,Liverpool,2020
a,0.28109,2.30722,d,2020-11-28,Liverpool,2020
h,1.59454,0.357753,w,2020-12-06,Liverpool,2020
a,1.82445,1.72509,d,2020-12-13,Liverpool,2020
h,1.21783,1.5161,w,2020-12-16,Liverpool,2020
a,2.86902,0.489318,w,2020-12-19,Liverpool,2020
h,1.45485,0.739845,d,2020-12-27,Liverpool,2020
a,1.32047,0.817935,d,2020-12-30,Liverpool,2020
a,1.37204,0.500436,l,2021-01-04,Liverpool,2020
h,1.20205,1.18929,d,2021-01-17,Liverpool,2020
h,1.64907,1.08059,l,2021-01-21,Liverpool,2020
a,2.58798,0.104586,w,2021-01-28,Liverpool,2020
a,2.05809,0.883061,w,2021-01-31,Liverpool,2020
h,1.09518,1.18977,l,2021-02-03,Liverpool,2020
h,1.17728,3.55196,l,2021-02-07,Liverpool,2020
a,1.68325,2.07383,l,2021-02-13,Liverpool,2020
h,1.54046,2.01468,l,2021-02-20,Liverpool,2020
a,2.80551,0.777149,w,2021-02-28,Liverpool,2020
h,0.247034,1.22635,l,2021-03-04,Liverpool,2020
h,0.701764,1.37047,l,2021-03-07,Liverpool,2020
a,1.0552,1.29175,w,2021-03-15,Liverpool,2020
a,2.43732,0.161161,w,2021-04-03,Liverpool,2020
h,2.14592,0.760621,w,2021-04-10,Liverpool,2020
a,1.60043,2.59719,d,2021-04-19,Liverpool,2020
h,2.84708,0.860694,d,2021-04-24,Liverpool,2020
h,2.26367,1.2289,w,2021-05-08,Liverpool,2020
a,2.938,1.71328,w,2021-05-13,Liverpool,2020
a,2.07854,1.14202,w,2021-05-16,Liverpool,2020
a,2.73316,0.837048,w,2021-05-19,Liverpool,2020
h,2.20348,0.772317,w,2021-05-23,Liverpool,2020
a,2.07651,0.727677,w,2020-09-21,Manchester City,2020
h,1.44633,2.86721,l,2020-09-27,Manchester City,2020
a,1.41533,2.56662,d,2020-10-03,Manchester City,2020
h,1.43023,0.838322,w,2020-10-17,Manchester City,2020
a,0.892456,0.263739,d,2020-10-24,Manchester City,2020
a,1.89643,0.687544,w,2020-10-31,Manchester City,2020
